1000	960	0.0000
1000	970	0.0000
400	100	0.0976
600	100	0.0422
600	300	0.0134
800	100	0.0268
800	300	0.0167
800	500	0.0000
1000	100	0.0090
1000	300	0.0065
1000	500	0.0042
1000	700	0.0008
1200	100	0.0021
1200	300	0.0022
1200	500	0.0018
1200	700	0.0013
1200	900	0.0005
1200	1100	0.0000
1400	100	0.0008
1400	300	0.0007
1400	500	0.0007
1400	700	0.0006
1400	900	0.0003
1400	1100	0.0001
1600	100	0.0003
1600	300	0.0003
1600	500	0.0003
1600	700	0.0002
1600	900	0.0002
1600	1100	0.0001
1800	100	0.0000
1800	300	0.0001
1800	500	0.0001
1800	700	0.0001
1800	900	0.0001
1800	1100	0.0001
1100	300	0.0038
1100	500	0.0029
1100	700	0.0017
1300	100	0.0012
1300	300	0.0012
1300	500	0.0012
1300	700	0.0009
1500	100	0.0004
1500	300	0.0005
1500	500	0.0004
1500	700	0.0003
400	200	0.0589
600	400	0.0059
800	600	0.0016
1000	800	0.0010
400	240	0.0261
600	440	0.0060
800	640	0.0018
1000	840	0.0011
400	280	0.0000
600	480	0.0118
800	680	0.0014
1000	880	0.0004
800	700	0.0022
800	720	0.0005
800	740	0.0001
800	760	0.0002
800	770	0.0000
400	320	0.0316
400	340	0.0062
400	360	0.0000
400	370	0.0000
600	500	0.0035
600	520	0.0040
600	540	0.0011
600	560	0.0000
600	570	0.0000
1000	900	0.0003
1000	920	0.0001
1000	940	0.0001
