1000	960	0.0000
1000	970	0.0000
400	100	0.6249
600	100	0.4058
600	300	0.3016
800	100	0.2532
800	300	0.1683
800	500	0.0763
1000	100	0.1199
1000	300	0.0796
1000	500	0.0390
1000	700	0.0257
1200	100	0.0458
1200	300	0.0398
1200	500	0.0245
1200	700	0.0139
1200	900	0.0053
1200	1100	0.0006
1400	100	0.0181
1400	300	0.0177
1400	500	0.0115
1400	700	0.0081
1400	900	0.0042
1400	1100	0.0015
1600	100	0.0069
1600	300	0.0062
1600	500	0.0060
1600	700	0.0044
1600	900	0.0026
1600	1100	0.0012
1800	100	0.0024
1800	300	0.0024
1800	500	0.0023
1800	700	0.0019
1800	900	0.0015
1800	1100	0.0011
1100	300	0.0542
1100	500	0.0387
1100	700	0.0184
1300	100	0.0291
1300	300	0.0246
1300	500	0.0210
1300	700	0.0098
1500	100	0.0116
1500	300	0.0106
1500	500	0.0089
1500	700	0.0060
400	200	0.2980
600	400	0.1366
800	600	0.0221
1000	800	0.0128
400	240	0.4942
600	440	0.1482
800	640	0.0292
1000	840	0.0065
400	280	0.2169
600	480	0.0752
800	680	0.0250
1000	880	0.0051
800	700	0.0143
800	720	0.0052
800	740	0.0000
800	760	0.0000
800	770	0.0000
400	300	0.1719
400	320	0.0524
400	340	0.0433
400	360	0.0000
400	370	0.0000
600	500	0.0406
600	520	0.0306
600	540	0.0050
600	560	0.0041
600	570	0.0000
1000	900	0.0021
1000	920	0.0008
