1000	960	0.0000
1000	970	0.0000
400	100	0.6208
600	100	0.3039
600	300	0.2268
800	100	0.1148
800	300	0.1100
800	500	0.0604
1000	100	0.0324
1000	300	0.0318
1000	500	0.0263
1000	700	0.0157
1200	100	0.0103
1200	300	0.0106
1200	500	0.0084
1200	700	0.0079
1200	900	0.0044
1200	1100	0.0005
1400	100	0.0035
1400	300	0.0038
1400	500	0.0030
1400	700	0.0031
1400	900	0.0024
1400	1100	0.0013
1600	100	0.0013
1600	300	0.0012
1600	500	0.0012
1600	700	0.0011
1600	900	0.0010
1600	1100	0.0008
1800	100	0.0004
1800	300	0.0005
1800	500	0.0004
1800	700	0.0004
1800	900	0.0004
1800	1100	0.0003
1100	300	0.0174
1100	500	0.0171
1100	700	0.0125
1300	100	0.0059
1300	300	0.0057
1300	500	0.0058
1300	700	0.0044
1500	100	0.0022
1500	300	0.0021
1500	500	0.0019
1500	700	0.0017
400	200	0.5179
600	400	0.1316
800	600	0.0367
1000	800	0.0102
400	240	0.4196
600	440	0.1532
800	640	0.0253
1000	840	0.0065
400	280	0.2674
600	480	0.0876
800	680	0.0169
1000	880	0.0046
800	700	0.0110
800	720	0.0052
800	740	0.0003
800	760	0.0000
800	770	0.0000
400	300	0.2322
400	320	0.1283
400	340	0.0173
400	360	0.0000
400	370	0.0000
600	500	0.0467
600	520	0.0204
600	540	0.0064
600	560	0.0007
600	570	0.0000
1000	900	0.0021
1000	920	0.0009
1000	940	0.0001
